origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.01,20.600636068036643
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.025,24.952448358930315
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.05,29.390292306914176
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.1,35.45660135721778
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.15,40.21971366803501
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.2,44.44530299972892
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.25,48.414081762469486
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.3,52.2726969143931
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.35,56.116743472100545
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.4,60.02053868223358
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.45,64.05127441553019
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.5,68.2779684092951
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.55,72.77929102913137
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.6,77.65281117743835
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.65,83.0285460123202
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.7,89.0918704121884
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.75,96.12690665769921
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.8,104.60908587072068
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.85,115.43547419013609
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.9,130.64795203733615
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.95,156.92664507630792
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.975,183.93195094896654
2025-09-24,ILI incidence,2025-09-21,1,BE,quantile,0.99,221.1896101486204
2025-09-24,ILI incidence,2025-09-21,1,BE,median,,68.2779684092951
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.01,16.832652247806195
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.025,21.097824112699396
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.05,25.573546697360985
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.1,31.869999979560262
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.15,36.94092657449817
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.2,41.52345447157718
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.25,45.89351720951586
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.3,50.19941457912417
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.35,54.54163788222987
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.4,59.002020462499125
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.45,63.65813465310896
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.5,68.59304989726117
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.55,73.90461362652081
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.6,79.71715846684941
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.65,86.19931169966866
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.7,93.59468694740559
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.75,102.28064266034364
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.8,112.89461778651805
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.85,126.65087812214938
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.9,146.34385753009903
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.95,181.25616057805544
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.975,218.17056490730909
2025-09-24,ILI incidence,2025-09-28,2,BE,quantile,0.99,270.59126565699177
2025-09-24,ILI incidence,2025-09-28,2,BE,median,,68.59304989726117
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.01,14.071507989094739
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.025,18.191414509159678
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.05,22.624901929900695
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.1,29.021853793167484
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.15,34.289974770875
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.2,39.12869937493626
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.25,43.80533414749087
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.3,48.46780314563626
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.35,53.22030497327786
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.4,58.15147604829971
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.45,63.34888649455037
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.5,68.9095643998831
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.55,74.95076559709089
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.6,81.62426436477553
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.65,89.1386887622654
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.7,97.79854943614038
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.75,108.07958366057845
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.8,120.79181659782277
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.85,137.49109347096956
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.9,161.7929850119279
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.95,205.87269767650392
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.975,253.66320850132072
2025-09-24,ILI incidence,2025-10-05,3,BE,quantile,0.99,323.2772520253269
2025-09-24,ILI incidence,2025-10-05,3,BE,median,,68.9095643998831
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.01,11.94667811809415
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.025,15.897143579589954
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.05,20.246281263378524
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.1,26.667189316957053
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.15,32.06286779889039
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.2,37.09220371723981
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.25,42.01241508515333
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.3,46.97024099649938
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.35,52.07313535542658
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.4,57.41632758014927
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.45,63.09738404095782
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.5,69.22751843462092
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.55,75.94392554824961
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.6,83.42681267010963
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.65,91.92656845043078
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.7,101.81174834716654
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.75,113.66234424923924
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.8,128.47280189129455
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.85,148.1674701506245
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.9,177.25823537710386
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.95,231.1302389037826
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.975,290.87799241063817
2025-09-24,ILI incidence,2025-10-12,4,BE,quantile,0.99,379.9397515330392
2025-09-24,ILI incidence,2025-10-12,4,BE,median,,69.22751843462092
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.01,2.1518352314628424
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.025,2.7522036792479887
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.05,3.3592550137992916
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.1,4.182009845701962
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.15,4.823155308172767
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.2,5.388831676145171
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.25,5.917729523819321
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.3,6.4299087346115416
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.35,6.938309748708669
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.4,7.4528627816880455
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.45,7.982421903548106
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.5,8.535965767395325
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.55,9.123621902130411
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.6,9.757851566445963
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.65,10.455164385809955
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.7,11.23899866943519
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.75,12.145157353120965
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.8,13.23337594829275
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.85,14.616042901914236
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.9,16.548141710374807
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.95,19.86013385981787
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.975,23.234996522139895
2025-09-24,ILI incidence,2025-09-21,1,CZ,quantile,0.99,27.851331506542795
2025-09-24,ILI incidence,2025-09-21,1,CZ,median,,8.535965767395325
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.01,1.680819904498024
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.025,2.342402499923464
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.05,3.040586281572474
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.1,4.028399202007323
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.15,4.827951417760926
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.2,5.5531420534922695
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.25,6.2467975191812535
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.3,6.9320779707162465
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.35,7.624808636911032
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.4,8.33800104581829
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.45,9.084105328019342
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.5,9.876559653751109
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.55,10.73128860255986
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.6,11.668616047605067
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.65,12.716194165204731
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.7,13.914067957771767
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.75,15.324390130741776
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.8,17.052340226405253
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.85,19.298650661548695
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.9,22.52628443946567
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.95,28.277818033765076
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.975,34.39356792137252
2025-09-24,ILI incidence,2025-09-28,2,CZ,quantile,0.99,43.12812278180906
2025-09-24,ILI incidence,2025-09-28,2,CZ,median,,9.876559653751109
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.01,1.0938761978224116
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.025,1.7710274998071283
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.05,2.5261502019609257
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.1,3.6555077373206792
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.15,4.615390919490599
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.2,5.5175507462782045
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.25,6.406193547706571
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.3,7.307021302880679
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.35,8.239299078636613
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.4,9.220504431860483
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.45,10.26890093590474
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.5,11.405618139485535
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.55,12.65699834421133
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.6,14.057902713977654
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.65,15.657038603564995
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.7,17.526419496404067
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.75,19.779819003027495
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.8,22.613066842727008
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.85,26.40670482771904
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.9,32.05748161237171
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.95,42.64515196690926
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.975,54.53873479546642
2025-09-24,ILI incidence,2025-10-05,3,CZ,quantile,0.99,72.49974252669986
2025-09-24,ILI incidence,2025-10-05,3,CZ,median,,11.405618139485535
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.01,0.5285726908484891
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.025,1.1701852662081298
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.05,1.9336373220209766
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.1,3.152759880406924
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.15,4.250115324109066
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.2,5.32559972627785
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.25,6.422238366993906
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.3,7.568169491013215
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.35,8.787404465228393
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.4,10.104387763785118
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.45,11.5470161250819
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.5,13.149636127785726
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.55,14.956957459272594
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.6,17.030008210060323
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.65,19.4561079763313
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.7,22.366975029932952
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.75,25.97463927311559
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.8,30.65110206341641
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.85,37.13481993992482
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.9,47.2118418388112
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.95,67.24708734303019
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.975,91.25581136607798
2025-09-24,ILI incidence,2025-10-12,4,CZ,quantile,0.99,129.9798374309592
2025-09-24,ILI incidence,2025-10-12,4,CZ,median,,13.149636127785726
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.01,31.83030903436299
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.025,36.792508174800155
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.05,41.65613760649211
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.1,48.04537664370675
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.15,52.88845958768225
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.2,57.07643655660738
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.25,60.927801652612445
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.3,64.60363232931601
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.35,68.2043250256414
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.4,71.803598545605
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.45,75.46401049343763
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.5,79.24602502242608
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.55,83.21510316219266
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.6,87.44926158239424
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.65,92.04945217678107
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.7,97.15652431522874
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.75,102.98277284283647
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.8,109.87843734391821
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.85,118.49542779975377
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.9,130.2952407049382
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.95,149.961265909827
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.975,169.38891682223968
2025-09-24,ILI incidence,2025-09-21,1,DK,quantile,0.99,195.1426718572702
2025-09-24,ILI incidence,2025-09-21,1,DK,median,,79.24602502242608
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.01,29.70187398243406
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.025,34.69909232161273
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.05,39.6428501258833
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.1,46.19821326748702
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.15,51.20849983656561
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.2,55.567177397488095
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.25,59.59541925011468
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.3,63.45679759791199
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.35,67.25425437730183
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.4,71.06433550936721
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.45,74.95294585647699
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.5,78.98471274497516
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.55,83.23049561481402
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.6,87.77559513560786
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.65,92.73121618956135
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.7,98.25336832283823
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.75,104.5781831707367
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.8,112.096579451749
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.85,121.53855776211172
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.9,134.5465351334224
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.95,156.40909540253728
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.975,178.2077573082445
2025-09-24,ILI incidence,2025-09-28,2,DK,quantile,0.99,207.37667031519067
2025-09-24,ILI incidence,2025-09-28,2,DK,median,,78.98471274497516
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.01,27.25511722937872
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.025,32.26953530162188
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.05,37.28840924933702
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.1,44.021520041414234
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.15,49.221175587110686
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.2,53.778724979307185
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.25,58.01693471676155
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.3,62.1017169488104
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.35,66.13883363983688
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.4,70.20823333521693
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.45,74.38003628174121
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.5,78.72425135117048
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.55,83.31882719913426
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.6,88.25872691692226
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.65,93.66885122849823
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.7,99.72556755723002
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.75,106.69715987467978
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.8,115.02964939227023
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.85,125.55928857101209
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.9,140.1759586894871
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.95,165.00209771354398
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.975,190.04433518176492
2025-09-24,ILI incidence,2025-10-05,3,DK,quantile,0.99,223.94885446434802
2025-09-24,ILI incidence,2025-10-05,3,DK,median,,78.72425135117048
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.01,24.607463011380673
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.025,29.60714712296879
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.05,34.6812072205129
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.1,41.58379036268719
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.15,46.9804296439395
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.2,51.75320871181862
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.25,56.22446320649754
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.3,60.5618575821628
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.35,64.87403691234799
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.4,69.24484131979469
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.45,73.74947737138987
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.5,78.46463812190626
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.55,83.4772289239098
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.6,88.89455443564485
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.65,94.85914280990194
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.7,101.57371950509736
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.75,109.34841321374816
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.8,118.70131990152888
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.85,130.60842365743866
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.9,147.28714536831205
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.95,175.97351641777615
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.975,205.3122278752591
2025-09-24,ILI incidence,2025-10-12,4,DK,quantile,0.99,245.5932962214617
2025-09-24,ILI incidence,2025-10-12,4,DK,median,,78.46463812190626
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.01,58.90164346822269
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.025,69.01393667567928
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.05,79.06626838632721
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.1,92.45994173052587
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.15,102.74060557567437
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.2,111.71203197884347
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.25,120.0245619473948
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.3,128.01065613792974
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.35,135.8806339122764
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.4,143.79193736948883
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.45,151.88115526835037
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.5,160.28322971365066
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.55,169.14706712025546
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.6,178.6528222458029
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.65,189.03623407776507
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.7,200.62892714114702
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.75,213.9338924950858
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.8,229.78530064783874
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.85,249.74347737339332
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.9,277.3254483708936
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.95,323.88438278844876
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.975,370.53003276135
2025-09-24,ILI incidence,2025-09-21,1,EE,quantile,0.99,433.2498582808583
2025-09-24,ILI incidence,2025-09-21,1,EE,median,,160.28322971365066
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.01,53.825691659940645
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.025,64.05081364246404
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.05,74.3577352588502
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.1,88.2836103265497
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.15,99.10572991862246
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.2,108.63487927988221
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.25,117.52978049501687
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.3,126.13104984089412
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.35,134.65760501145908
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.4,143.27666087726237
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.45,152.1365614537749
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.5,161.38702958470313
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.55,171.19628759460582
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.6,181.77070745195644
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.65,193.38311162220356
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.7,206.4201967996412
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.75,221.4719160637597
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.8,239.52151605900508
2025-09-24,ILI incidence,2025-09-28,2,EE,quantile,0.85,262.41696323256923
